2025-12-30 16:53:58 - attendance_system.main - INFO - GET / | Status: 200 | Process Time: 0.0020s
2025-12-30 16:53:58 - attendance_system.main - INFO - GET /employees/ | Status: 200 | Process Time: 0.0020s
2025-12-30 16:53:59 - attendance_system.main - INFO - GET /reports/department/IT/attendance | Status: 200 | Process Time: 0.0010s
2025-12-30 17:00:38 - attendance_system.main - INFO - GET / | Status: 200 | Process Time: 0.0020s
2025-12-30 17:00:39 - attendance_system.main - INFO - GET /employees/ | Status: 200 | Process Time: 0.0010s
2025-12-30 17:00:44 - attendance_system.main - INFO - POST /employees/ | Status: 201 | Process Time: 0.0125s
2025-12-30 17:00:44 - attendance_system.main - INFO - GET /employees/ | Status: 200 | Process Time: 0.0020s
2025-12-30 17:00:54 - attendance_system.main - INFO - POST /employees/ | Status: 201 | Process Time: 0.0030s
2025-12-30 17:00:54 - attendance_system.main - INFO - GET /employees/ | Status: 200 | Process Time: 0.0010s
2025-12-30 17:01:00 - attendance_system.main - INFO - POST /employees/ | Status: 201 | Process Time: 0.0030s
2025-12-30 17:01:00 - attendance_system.main - INFO - GET /employees/ | Status: 200 | Process Time: 0.0020s
2025-12-30 17:01:03 - attendance_system.main - INFO - GET /reports/daily-summary | Status: 200 | Process Time: 0.0020s
2025-12-30 17:01:06 - attendance_system.main - INFO - GET /reports/department/IT/attendance | Status: 200 | Process Time: 0.0060s
2025-12-30 17:01:09 - attendance_system.main - INFO - GET /reports/punctuality-ranking | Status: 200 | Process Time: 0.0020s
2025-12-30 17:46:27 - attendance_system.main - INFO - GET / | Status: 200 | Process Time: 0.0020s
2025-12-30 17:46:27 - attendance_system.main - INFO - GET /employees/ | Status: 200 | Process Time: 0.0010s
2025-12-30 17:57:16 - attendance_system.main - INFO - GET / | Status: 200 | Process Time: 0.0025s
2025-12-30 17:57:16 - attendance_system.main - INFO - GET /employees/ | Status: 200 | Process Time: 0.0010s
2025-12-30 18:05:36 - attendance_system.main - INFO - GET / | Status: 200 | Process Time: 0.0010s
2025-12-30 18:05:36 - attendance_system.main - INFO - GET /employees/ | Status: 200 | Process Time: 0.0010s
2025-12-30 18:05:37 - attendance_system.main - INFO - GET /employees/ | Status: 200 | Process Time: 0.0010s
2025-12-30 18:05:39 - attendance_system.main - INFO - POST /employees/ | Status: 201 | Process Time: 0.0070s
2025-12-30 18:05:39 - attendance_system.main - INFO - GET /employees/ | Status: 200 | Process Time: 0.0010s
2025-12-30 18:05:41 - attendance_system.main - INFO - GET / | Status: 200 | Process Time: 0.0010s
2025-12-30 18:05:41 - attendance_system.main - INFO - GET /employees/ | Status: 200 | Process Time: 0.0010s
